Company Name,Year,Months,Total income,Total liabilities,Total assets,Profit after tax,Total expenses,Indirect taxes,Rent & lease rent,Sales,Income from financial services,Other income
Acuity Advisory Services Pvt. Ltd.,31-03-2010,12,12,128.6,128.6,9.4,2.6,,0.1,,12,
Acumen Capital Market (India) Ltd.,31-03-2023,12,402.8,1197.4,1197.4,4.5,398.3,4.4,9.2,,399,
Acumen Trading & Invsts. Pvt. Ltd.,31-03-2010,12,3.4,35.1,35.1,2.7,0.7,,,,3.4,
Ad-Bureau Advertising Pvt. Ltd.,31-03-2020,12,43.1,99.2,99.2,0.3,42.8,,0.2,42.9,0.2,
Ad-Manum Finance Ltd.,31-03-2024,12,131.3,819.9,819.9,77,54.3,,0.5,6.7,103.8,
Ada Cellworks Wireless Engg. Pvt. Ltd.,31-03-2019,12,,234.1,234.1,-1.9,1.9,,,,,
Adani Agri Logistics (Katihar) Ltd.,31-03-2024,12,69.9,472.5,472.5,14.6,55.3,,3.2,32.7,36.8,
Adani Agri Logistics (Kotkapura) Ltd.,31-03-2024,12,37.7,211.4,211.4,9.5,28.2,,,17.3,18.5,1.9
Adani Cementation Ltd.,31-03-2023,12,,2692.4,2692.4,-0.1,0.1,0.1,,,,
Adani Defence Systems & Technologies Ltd.,31-03-2024,12,258.4,13518.8,13518.8,-370.7,1489.6,9,0.7,103.5,112.4,42.3
Adani Dhamra L P G Terminal Pvt. Ltd.,31-03-2023,12,2.3,39.1,39.1,1.6,0.7,,,,2.3,
Adani Global Ltd.,31-12-2005,12,5.1,416.1,416.1,4,1.1,,,,5.1,
Adani Infrastructure & Developers Pvt. Ltd.,31-03-2024,12,2941.4,58773.8,58773.8,209.4,4171.5,22.2,,1506.1,1435.3,
Adani Power Dahej Ltd.,31-03-2024,12,,2789.6,2789.6,-138.1,138.1,,,,,
Adani Power Resources Ltd.,31-03-2024,12,,0,,-0.1,0.1,,,,,
Adani Renewable Energy Holding Two Ltd.,31-03-2023,12,0.1,408.3,408.3,-42.4,42.5,,,,0.1,
Adani Transmission (Rajasthan) Ltd.,31-03-2024,12,270.1,1728,1728,110.5,159.6,,1.4,4.5,236.4,
Adani Transmission Bikaner Sikar Pvt. Ltd.,31-03-2024,12,336.4,2853.3,2853.3,130.7,205.7,,,13.9,322.4,
Adani Welspun Exploration Ltd.,31-03-2023,12,19.6,13300.6,13300.6,-22.5,42.1,,0.3,,9.6,
Adapt Investments Ltd.,31-03-2012,12,28.7,923.8,923.8,0.1,28.6,,,,27.7,
Adarsh Capital Finstock Ltd.,31-03-2023,12,3.7,53.8,53.8,1.9,1.8,0.1,,0.3,3.4,
Adarsh Commercial Co. Ltd.,31-03-2012,12,0.6,104.9,104.9,0.4,0.2,,,,0.6,
Adarsh Mercantile Ltd.,31-03-2024,12,28.1,68.4,68.4,-17.4,45.5,0.1,,1.2,23,
Adcon Capital Services Ltd.,31-03-2024,12,16.8,335.4,335.4,9,7.8,,0.1,,16.8,
Add Urban Enviro Ltd. [Merged],31-03-2017,12,3,339.5,339.5,-13.6,16.6,,,,3,
Addi Housing & Inds. Ltd.,31-03-2022,12,0.1,121.4,121.4,0,0.1,,,,0.1,
Addi Industries Ltd.,31-03-2024,12,72.7,773,773,45.3,27.4,0.3,,6,46.2,
Adeline Builders & Developers Pvt. Ltd. [Merged],31-03-2022,12,0.1,250.1,250.1,-0.1,0.2,,0.2,,0.1,
Adeshwar Infrabuild Ltd.,31-03-2024,12,,0,,-0.1,0.1,,,,,
Adharshila Capital Services Ltd.,31-03-2022,12,1.6,384.1,384.1,0,1.6,,,0.5,1.1,
Adhikar Microfinance Pvt. Ltd.,31-03-2022,12,116,973.7,973.7,-46.5,162.5,3,7.6,0.7,115.3,
Adhinami Investments Pvt. Ltd.,31-03-2012,12,2,13,13,2,,,,,2,
Adhiraj Distributors Ltd.,31-03-2024,12,6.4,170.5,170.5,1.1,5.3,,0.1,,6.4,
Adhisesan Pettai Benefit Fund Nidhi Ltd.,31-03-2011,12,13.5,99.1,99.1,0.5,13,,,,13.2,0.2
Adhunik Power Systems Pvt. Ltd.,31-03-2020,12,,0,,-0.3,0.3,,,,,
Adhunik Synthetics Ltd.,31-03-2023,12,,24.5,24.5,,,,,,,
Adi Chitragupta Finance Ltd.,31-03-2023,12,546.8,3008.7,3008.7,114.6,432.2,,10,,546.5,0.3
Adidas India Pvt. Ltd.,31-03-2023,12,0.6,4647.5,4647.5,-1,1.6,,,,0.5,0.1
Adilakshmi Enterprises Ltd.,31-03-2023,12,64.6,137.9,137.9,2.7,61.9,0.1,0.1,54.5,10,0.1
Adinath Exim Resources Ltd.,31-03-2024,12,10.4,203.6,203.6,5.6,4.8,,0.4,,10.4,
Adisri Investment Pvt. Ltd.,31-03-2013,12,21.2,1001.8,1001.8,12.9,8.3,,0.1,,21.2,
Aditya Birla Arc Ltd.,31-03-2024,12,1784.1,6718.3,6718.3,930.6,853.5,1,0.1,37.9,1742.8,
Aditya Birla Capital Ltd.,31-03-2024,12,10101.8,142357.3,142357.3,7142.8,2959,3.6,,5.3,8600.6,1195.1
Aditya Birla Finance Ltd.,31-03-2024,12,130338.2,1143245.7,1143245.7,22208.6,108129.6,22.4,277.9,,127168.6,475.9
Aditya Birla Financial Shared Services Ltd.,31-03-2024,12,2416.1,2212.4,2212.4,13.4,2402.7,3.2,-7.5,,,2402.6
Aditya Birla Health Insurance Co. Ltd.,31-03-2016,12,0.4,100,100,-152,152.4,5.3,8.6,,0.4,
Aditya Birla Housing Finance Ltd.,31-03-2024,12,18852.5,187026.5,187026.5,2906.9,15945.6,11,72.9,8,18276.7,
Aditya Birla Idea Payments Bank Ltd.,31-03-2019,12,246.2,2483.8,2483.8,-1525.8,1772,1.9,95.5,,240.3,3.1
Aditya Birla Insurance Brokers Ltd.,31-03-2024,12,5670.6,4907.6,4907.6,506.1,5164.5,2.2,34.8,6.5,5641.1,1.4
Aditya Birla Minacs B P O Pvt. Ltd. [Merged],31-03-2015,12,0.1,9.2,9.2,-2.5,2.6,0.9,,,0.1,
Aditya Birla Money Ltd.,31-03-2024,12,3950.1,21236.9,21236.9,529.7,3420.4,43.6,6.7,,3945.6,4.2
Aditya Birla Money Mart Ltd. [Merged],31-03-2024,12,100.3,1481.6,1481.6,20,80.3,1.2,,,99.6,
Aditya Birla Online Fashion Pvt. Ltd.,31-03-2023,12,1.2,31.5,31.5,-1.1,2.3,,,,0.3,0.9
Aditya Birla P E Advisors Pvt. Ltd.,31-03-2024,12,3.1,66.2,66.2,1.9,1.2,0.2,,,2.9,
Aditya Birla Sun Life A M C Ltd.,31-03-2024,12,16162.3,35091.4,35091.4,7742.3,8420,17.7,65.5,25.3,16111.3,6.4
Aditya Birla Sun Life Pension Mgmt. Ltd.,31-03-2024,12,60.7,669.4,669.4,-80.7,141.4,4.6,10.1,,60.7,
Aditya Birla Sun Life Trustee Pvt. Ltd.,31-03-2024,12,4,20.2,20.2,2.7,1.3,,,,3.9,
Aditya Birla Telecom Ltd. [Merged],31-03-2018,12,3360.4,77051.9,77051.9,3155.4,205,0.9,,,3360.3,
Aditya Birla Trustee Co. Pvt. Ltd.,31-03-2024,12,0.3,4.7,4.7,0.2,0.1,,,,0.3,
Aditya Consultants & Traders Pvt. Ltd.,31-03-2022,12,5.6,423.4,423.4,4.1,1.5,,,,5.6,
Aditya Exports Ltd.,31-03-2011,12,0.1,8.2,8.2,0.1,,,,,0.1,
Aditya Fincom Pvt. Ltd.,31-03-2009,12,,9.7,9.7,,,,,,,
Aditya Finvest Corpn. Ltd.,31-03-2012,12,0.1,7.2,7.2,-0.3,0.4,,,,,
Aditya Infotech Private Limited,31-03-2023,12,1.9,2544.7,2544.7,-0.1,2,0.1,,,1.9,
Aditya International Ltd.,31-03-2023,12,,367.7,367.7,-0.4,0.4,0.1,,,,
Aditya Marketing & Mfg. Pvt. Ltd. [Merged],31-03-2021,12,107.5,10252.2,10252.2,-314.3,421.8,,,,107.2,
Aditya Resources Ltd.,31-03-2023,12,1.6,64.7,64.7,1.6,,,,,1.6,
Adiyaman Investments Ltd.,31-03-2023,12,3.2,34.7,34.7,0.1,3.1,,0.2,,3.2,
Adler Investment & Trdg. Co. Pvt. Ltd.,31-03-2023,12,0.1,14.7,14.7,0,0.1,,,,0.1,
Admiral Investments Ltd. [Merged],31-03-1996,12,0.2,1.8,1.8,0.1,0.1,,,,0.2,
Adone Hotels & Hospitality Ltd.,31-03-2014,12,0.5,6880.4,6880.4,-493.3,493.8,,,,0.5,
Adonis Finance Ltd.,31-03-2011,12,,0,,-47.2,47.2,,,,,
Adonis Vyaper Pvt. Ltd.,31-03-2024,12,0.1,16.6,16.6,-0.1,0.2,,,,0.1,
Ador Finance Ltd. [Merged],31-03-2000,12,18.4,85.9,85.9,1.2,17.2,0.2,0.2,,18.4,
Adorn Investments Ltd.,31-03-2012,12,26.4,664.5,664.5,11.4,15,,,,26.3,
Adroit Financial Services Pvt. Ltd.,31-03-2023,12,3958.7,5859.3,5859.3,764.1,3194.6,,7,,3957,1.7
Adroit Share & Stock Broker Pvt. Ltd.,31-03-2023,12,107.9,254.4,254.4,40.9,67,,,,107.9,
Advait Auto Finance Pvt. Ltd.,31-03-2008,12,3.3,19.4,19.4,1,2.3,,,,3.3,
Advait Steel Rolling Mills Pvt. Ltd.,31-03-2023,12,,26,26,-1.5,1.5,,,,,
Advaita Trading Pvt. Ltd.,31-03-2022,12,3.3,257.8,257.8,2.8,0.5,,,3.1,,0.2
Advaith Infraprojects Pvt. Ltd. [Merged],31-03-2023,12,,8,8,,,,,,,
Advance Buildcon Pvt. Ltd.,31-03-2024,12,,0,,-0.1,0.1,,,,,
Advance Business Services Pvt. Ltd.,31-03-2016,12,1.3,33.5,33.5,1.2,0.1,,,0.6,0.7,
Advance Lifestyles Ltd.,31-03-2024,12,35.2,701.9,701.9,2.1,33.1,0.1,,,30.4,
Advance Power Devices Pvt. Ltd.,31-03-2019,12,0.4,7.5,7.5,0.2,0.2,,,,0.4,
Advantage Finvest Ltd.,31-03-2010,12,0.8,29.8,29.8,0.6,0.2,,,,0.8,
Advantage India Advisors Pvt. Ltd.,31-03-2022,12,0.5,2.2,2.2,0,0.5,,,0.5,,
Adventity Financial Services Pvt. Ltd.,30-06-2010,15,34.4,67.6,67.6,-3.2,37.6,,18.8,34,,0.3
Adventure Resorts & Cruises Pvt. Ltd.,31-03-2023,12,24,125.7,125.7,-31.7,55.7,,0.4,23.7,,
Adventz Investments & Holdings Ltd. [Merged],31-03-2012,12,125.1,885.5,885.5,66.1,59,2.9,,59.5,65.4,
Adventz Securities Enterprises Ltd.,31-03-2024,12,80.4,1803.7,1803.7,45.8,34.6,,0.3,33.9,46.5,
Advik Capital Ltd.,31-03-2024,12,165.4,2013.3,2013.3,40.4,125,4,0.1,,164.9,0.5
Adyam Energy Solutions Pvt. Ltd.,31-03-2022,12,26.7,36.3,36.3,15.7,11,4.4,,25.5,0.2,
Aegis Ltd.,31-03-2021,12,174,7374,7374,-9,183,,,,,
Aeon Credit Service India Pvt. Ltd.,31-03-2023,12,707.7,3877.4,3877.4,-81.3,789,6.8,28.8,,554.8,9.6
Aeonian Investments Co. Ltd.,31-03-2013,12,145.4,1021.2,1021.2,111.5,33.9,,0.1,,40,
Aero Traders Pvt. Ltd.,31-03-2023,12,3.4,1153.3,1153.3,3.4,,,,,3.4,
Aeroflex Finance Pvt. Ltd.,31-03-2024,12,60.8,211.8,211.8,7.2,53.6,0.4,,,60.8,
Aerotek Sika Aviosystems Pvt. Ltd.,31-03-2022,12,,36.4,36.4,-1.2,1.7,,,,,
Af-Taab Investment Co. Ltd. [Merged],31-03-2021,12,115.8,3294.4,3294.4,63.7,52.1,,0.2,,115.8,
Afcons Corrosion Protection Pvt. Ltd.,31-03-2023,12,1.3,19.4,19.4,0.8,0.5,,,,0.9,
Affluent Realtors Pvt. Ltd.,31-03-2023,12,,8.5,8.5,,,,,,,
Ag-Vet Marketing Ltd.,31-03-2023,12,1.7,67.3,67.3,1,0.7,,,0.3,1.2,0.2
Agaresh Finance & Properties Ltd.,31-03-2010,12,,5,5,,,,,,,
Agarsar Commerce Ltd.,31-03-2005,12,0.8,8.7,8.7,0.5,0.3,,0.1,0.1,0.7,
Agarwal Trademart Pvt. Ltd.,31-03-2010,12,9.6,351.7,351.7,7.4,2.2,,,,9.6,
Agate Finance Ltd.,31-03-2023,12,21,375,375,9.1,11.9,,0.2,,21,
Agile E-Services Ltd.,31-03-2019,12,0.1,0.1,0.1,0,0.1,,,,,
Agilemed Investments Pvt. Ltd.,31-03-2023,12,,10171.7,10171.7,-302.5,302.5,0.2,,,,
Agilyst Consulting Pvt. Ltd. [Merged],31-03-2016,12,57.4,263.6,263.6,-2.6,60,4.8,0.3,1.8,55.2,
Aglar Power Ltd.,31-03-2023,12,0.7,554,554,0.3,0.4,,0.1,,0.7,
Agnee Financial Services Ltd.,31-03-2010,12,,51.2,51.2,,,,,,,
Agog Investment Pvt. Ltd.,31-03-2015,12,10.2,67.3,67.3,9.5,0.7,,,,10.2,
Agora Microfinance India Ltd.,31-12-2023,12,171.3,683.6,683.6,33.1,138.2,,4.5,,124.1,
Agrani Utility Works Pvt. Ltd.,31-03-2014,12,,10.4,10.4,-0.2,0.2,,0.1,,,
Agri Power & Engg. Solutions Pvt. Ltd.,31-03-2023,12,0.8,8.5,8.5,0.5,0.3,,,,0.4,0.4
Agri-Tech (India) Ltd.,31-03-2024,12,109,1028.2,1028.2,97.4,11.6,0.1,,1.6,106.9,0.2
Agrico Fincap Ltd.,31-03-2007,12,0.2,13.3,13.3,0.1,0.1,,0.1,,0.2,
Agrim Realtech Pvt. Ltd.,31-03-2022,12,,0,,-0.1,0.1,,,,,
Agrimony Commodities Ltd.,31-03-2021,12,7.4,143.7,143.7,2.5,4.9,,0.1,,7.4,
Agriwise Finserv Ltd.,31-03-2023,12,422.8,2870.2,2870.2,12.1,410.7,8.5,0.6,,312.4,36.9
Agro Chem Punjab Ltd.,31-03-2022,12,,9.2,9.2,-0.3,0.3,,,,,
Agro Indus Credits Ltd.,31-03-2023,12,136.2,915.2,915.2,1.3,134.9,6.7,13.3,,131.6,3.3
Agroha Fincap Ltd.,31-03-2022,12,,41.3,41.3,,,,,,,
Agroy Finance & Invst. Ltd.,31-03-2011,12,29.5,131.1,131.1,2.1,27.4,0.1,1.3,,28.5,0.3
Ahilya Hotels Ltd. [Merged],31-03-2023,12,,186.4,186.4,-0.4,0.4,,,,,
Ahinsa Capital Market & Holdings Ltd.,31-03-2019,12,0.1,1.8,1.8,0,0.1,,,,0.1,
Ahlcon Ready Mix Concrete Pvt. Ltd.,31-03-2023,12,0.1,84.4,84.4,-0.2,0.3,,,,0.1,
Ahmadpur Katwa Railway Co. Ltd.,31-03-2014,12,0.2,2.6,2.6,0,0.2,,,,0.2,
Ahmedabad Aviation & Aeronautics Ltd.,31-03-2023,12,0.9,71.1,71.1,-41.1,42,,1.4,0.3,0.6,
Ahmedabad Mercantile Cooperative Bank Ltd.,31-03-2009,12,636.3,7966.8,7966.8,158.5,477.8,,10.3,,636.3,
Ahmedabad-Vadodara Expressway Co. Ltd.,31-03-2023,12,3.2,156.3,156.3,2.8,0.4,,,,3.2,
Ahmednagar Finance Ltd.,31-03-2023,12,13.8,173.7,173.7,10.9,2.9,,,,13.8,
Aidos Trade Ltd.,31-03-2007,12,0.4,63.8,63.8,0.1,0.3,,,,0.4,
Aimwel Investment Pvt. Ltd.,31-03-1999,12,,,,,,,,,,
Aindro Pharmaceuticals Pvt. Ltd.,31-03-2019,12,6.4,111.2,111.2,-7.3,13.7,,,0.3,6.1,
Air Kerala Intl. Services Ltd.,31-03-2024,12,,0,,-0.2,0.2,,,,,
Aira Investment & Trdg. Co. Ltd.,31-03-1995,12,0.8,14.5,14.5,0.5,0.3,,,,0.8,
Airan Commodities Pvt. Ltd.,31-03-2022,12,0.3,12.4,12.4,0.1,0.2,,,,0.3,
Airan Finstocks Pvt. Ltd.,31-03-2023,12,102.4,1010.5,1010.5,44.9,57.5,0.1,0.1,,39,63.4
Aircel Cellular Ltd.,31-03-2016,12,2516,33788.9,33788.9,908.7,1607.3,2.3,31.2,1189.9,1306.7,0.2
Aircel Smart Money Ltd.,31-03-2014,12,9.5,107,107,-13.6,23.1,,1.3,2.3,7.2,
Airline Financial Support Services (India) Ltd. [Merged],31-03-2005,12,300.6,474.8,474.8,56.6,244,2.1,1.7,293.2,6.2,0.2
Airmid Real Estate Ltd.,31-03-2023,12,0.5,2412.7,2412.7,-75,75.5,57.6,0.6,,0.2,
Airtel Broadband Services Pvt. Ltd. [Merged],31-03-2014,12,332.2,61319,61319,-200,532.2,0.8,19.1,,332.2,
Airtel Payments Bank Ltd.,31-03-2024,12,18362.3,46976,46976,345.1,18017.2,,61.9,,18362.3,
Aishu Projects Ltd.,31-03-2023,12,,121.3,121.3,-4.6,4.6,,,,,
Aiwo Ltd. [Merged],31-03-2012,12,117.4,3543.4,3543.4,5.5,851.7,,4.5,1.1,116.1,0.2
Ajanta Commerce Ltd.,31-03-2009,12,3.2,5.8,5.8,2.7,0.5,,,,3.2,
Ajanta Instalments Ltd.,31-03-2011,12,3.2,24,24,0,3.2,,,,3,
Ajay Investment Enterprise Ltd.,31-03-2022,12,0.8,72.4,72.4,0.1,0.7,,0.1,,0.7,
Ajay Multi Projects Pvt. Ltd.,31-03-2021,12,97,85,85,-15.3,112.3,0.1,,0.1,94.8,0.4
Ajay Textiles Inds. Pvt. Ltd.,31-03-2023,12,,8.5,8.5,,,,,,,
Ajcon Comtrade Pvt. Ltd.,31-03-2022,12,0.7,11.1,11.1,0,0.7,,,,0.7,
Ajcon Finance Ltd.,31-03-2023,12,7.5,176.1,176.1,0.9,6.6,,,,7.4,
Ajcon Global Services Ltd.,31-03-2024,12,149.5,234.5,234.5,10.4,139.1,,0.5,76.4,72.9,0.1
Ajmer Waste Processing Co. Pvt. Ltd.,31-03-2012,12,,48.5,48.5,-1.4,1.4,,,,,
Ajmera Associates Ltd.,31-03-2023,12,255.5,749.6,749.6,59.4,196.1,,,,202.6,52.9
Ajmera Clean Green Energy Ltd.,31-03-2024,12,,1.2,1.2,,,,,,,
Ajwa Finance Ltd.,31-03-2011,12,,16,16,,,,,,,
Akanksha Viniyog Ltd.,31-03-2023,12,0.4,27.1,27.1,0,0.4,,,,0.4,
Akansha Shipbreaking Pvt. Ltd.,31-03-2022,12,8.3,65.1,65.1,1.1,7.2,,,1.5,6.8,
Akar Global Ltd.,31-03-2022,12,,0,,,,,,,,
Akara Capital Advisors Pvt. Ltd.,31-03-2023,12,2169.1,14541.9,14541.9,258.7,1910.4,4,5.6,,2162.5,0.2
Akarsh Printers Ltd. [Merged],31-03-2011,12,1.4,64.4,64.4,-4.3,5.7,,,0.2,0.7,
Akarshak Infrastructure Pvt. Ltd. [Merged],31-03-2020,12,65.8,12504.5,12504.5,-371.5,437.3,10.4,,,65.8,
Akash Agencies Ltd.,31-03-1998,12,0.1,0.8,0.8,,0.1,,,,0.1,
Akay Filtips Pvt. Ltd.,31-03-2023,12,8.7,86.3,86.3,0.9,7.8,,0.9,,2.1,6.3
Akhil Shipbreakers Pvt. Ltd.,31-03-2023,12,5.6,46.9,46.9,-1.2,6.8,,,1.4,4,
Akhivi Tea Plantations & Agro Inds. Ltd.,31-03-2023,12,2.4,54.7,54.7,1.3,1.1,,0.1,,2.4,
Akhshayaa Finance Bhaarath Ltd.,31-03-2023,12,3.6,391,391,-0.1,3.7,,,,2.2,
Akme Fintrade (India) Ltd.,31-03-2024,12,735.9,4498.3,4498.3,185.3,550.6,1.3,3.9,0.2,715.3,
Akruti Finance & Leasing Pvt. Ltd. [Merged],31-03-2005,12,,2.4,2.4,,,,,,,
Akshat Commodity Ltd.,31-03-2023,12,7.2,148.7,148.7,0.9,6.3,,,,,7.2
Akshat Consultancy Ltd. [Merged],31-03-2014,12,0.6,574.2,574.2,0,0.6,,,,0.6,
Akshat Gases Ltd.,31-03-2022,12,,18.9,18.9,-0.1,0.1,,,,,
Akshata Cashew Products Ltd.,31-03-2014,12,1.2,48.8,48.8,0.2,1,,,,1.2,
Akshata Mercantile Pvt. Ltd.,31-03-2018,12,3.4,2841.6,2841.6,-619.9,623.3,,,0.4,2,1
Akshay Global Trades Ltd.,31-03-2011,12,0.4,16.6,16.6,-0.2,2.2,,0.2,,0.4,
Akshita Holdings Pvt. Ltd.,31-03-2022,12,9.3,57.3,57.3,9.2,0.1,,,,9.3,
Al Barr Finance House Ltd.,31-03-2023,12,5.9,96.8,96.8,-4.5,10.4,0.6,0.7,,5.9,
Al-Amal Tours & Travels Pvt. Ltd.,31-03-2022,12,0.1,14.7,14.7,-0.6,0.7,,,0.1,,
Al-Amanat Finance & Capital Services Ltd.,31-03-1999,12,2.2,37.6,37.6,-0.6,2.8,,0.1,,2.2,
Al-Falah Investments Pvt. Ltd.,31-03-2023,12,1.9,120.4,120.4,0.4,1.5,,0.2,,1.9,
Al-Najib Milli Mutual Benefits Nidhi Ltd.,31-03-2023,12,271.5,3829.7,3829.7,4.8,266.7,0.8,0.6,,269.3,
Alacrity Securities Ltd.,31-03-2024,12,224.8,652.8,652.8,114.5,110.3,,,,224.6,0.2
Alagawadi Bireshwar Sugars Pvt. Ltd. [Merged],31-03-2021,12,,167.7,167.7,,,,,,,
Alagendran Nidhi Ltd.,31-03-2023,12,185.2,1601.9,1601.9,7.5,177.7,0.1,6.5,,182.5,2.4
Alaknanda Manufacturing & Finance Ltd. [Merged],31-03-2000,9,7.6,300.7,300.7,-11.3,18.9,,,,7.6,
Alamgir Motor Finance Ltd.,31-03-2018,12,0.3,28.1,28.1,-3.5,3.8,,,0.1,0.2,
Alan Scott Inds. Ltd.,31-03-2024,12,4.1,81.4,81.4,-9.6,13.3,0.1,0.5,1.8,2.3,
Alang Ship Breakers Ltd.,31-03-2009,12,3.9,91.5,91.5,0.2,3.7,,,,1.1,
Alankit Assignments Ltd.,31-03-2023,12,328.2,1362.2,1362.2,37.5,290.7,0.7,25.9,,328,0.2
Alankit Finsec Ltd.,31-03-2023,12,23.7,1794,1794,6.6,17.1,,,,23.7,
Alankit Forex India Ltd.,31-03-2023,12,14.4,143.1,143.1,1.7,12.7,,,,14.4,
Alankit Insurance Brokers Ltd.,31-03-2023,12,3,10.5,10.5,0.2,2.8,,,2.8,0.1,
Albasta Infrastructure Ltd.,31-03-2023,12,,0.1,0.1,,,,,,,
Albasta Wholesale Services Ltd. [Merged],31-03-2021,12,16.3,5207.4,5207.4,-135.6,151.9,,,,16.3,
Albina Power Trdg. Ltd.,31-03-2019,12,,23.4,23.4,,,,,,,
Albina Real Estate Ltd.,31-03-2023,12,3.3,720.4,720.4,2,1.3,,,,,3.3
Alcatel-Lucent Managed Solutions India Pvt. Ltd. [Merged],31-03-2022,12,90.7,1293.2,1293.2,-109.4,200.1,,,,21,
Alchemie Financial Services Ltd.,31-03-2023,12,127.3,1174,1174,-35.8,163.1,,,15,80.2,17.6
Alchemie Pharma Chem Ltd. [Merged],31-03-2012,12,4.4,64.1,64.1,2.8,1.6,,,,4.3,0.1
Alchemist Asset Reconstruction Co. Ltd.,31-03-2022,12,397.2,3536.6,3536.6,18.8,378.4,0.7,4.9,,397.2,
Alchemist Capital Ltd.,31-03-2019,12,7.7,937.3,937.3,-18.6,26.3,,0.3,,2.2,
Alchemist Corporation Ltd.,31-03-2024,12,4.4,177.9,177.9,0.7,3.7,,0.3,,1.2,
Alchemist Holdings Ltd.,31-03-2010,12,84,6423.5,6423.5,47.7,36.3,,0.6,,84,
Alchemist Realty Ltd.,31-03-2020,12,38.8,3274,3274,-1.9,40.8,,0.1,,37.5,1.3
Alco Company Pvt. Ltd.,31-03-2023,12,413.2,22675.5,22675.5,250.6,170.5,,0.8,38,357.9,
Alcock Ashdown (Gujarat) Ltd.,31-03-2020,12,104.9,1623.5,1623.5,-245.6,350.5,0.3,,,,96.4
Alcon Finance & Invsts. Ltd.,31-03-2022,12,243,184.1,184.1,242.7,0.3,,,,243,
Alcove Industries Pvt. Ltd. [Merged],31-03-2022,12,0.2,89.9,89.9,-29,29.2,0.7,,,0.2,
Alexander Transport Solutions Ltd.,31-03-2016,12,,1,1,,,,,,,
Alexi Financials Ltd.,31-03-2022,12,4.6,17.8,17.8,3.4,1.2,,,,4.6,
Alfa Laval Financial Services Ltd. [Merged],31-03-2001,3,5.5,140.9,140.9,2.5,3,,,,4.6,
Alfa Mercantile Ltd.,31-03-2023,12,2.6,23,23,2.3,0.3,,,,2.6,
Alfaccurate Advisors Pvt. Ltd.,31-03-2023,12,253.9,251.9,251.9,46.2,207.7,,0.9,250.3,3.6,
Alfred Herbert (India) Ltd.,31-03-2024,12,19.5,1155.3,1155.3,7.2,12.3,0.6,,4,15.5,
Algoanalytics Financial Consultancy Pvt. Ltd.,31-03-2022,12,1.1,19.8,19.8,0,1.1,0.1,0.4,0.6,0.5,
Algoquant Fintech Ltd.,31-03-2024,12,649.9,768,768,99.5,550.4,0.1,5.6,,646.7,0.5
Alia Creative Consultants Pvt. Ltd.,31-03-2022,12,,10.6,10.6,-0.2,0.2,,,,,
Alice Blue Commodities Pvt. Ltd.,31-03-2023,12,6.7,96.3,96.3,4.4,2.3,,,,6.7,
Alirox Abrasives Ltd.,31-03-2024,12,10.6,851.3,851.3,-0.2,10.8,2.3,,4.6,6,
Alisa Infratech Pvt. Ltd.,31-03-2020,12,0.1,3415.7,3415.7,-4.6,4.7,,0.4,,0.1,
Alisha Chitfund Pvt. Ltd.,31-03-2022,12,0.2,1.2,1.2,0,0.2,,0.1,,0.2,
Alka Commodities Ltd.,31-03-2017,12,1.8,143,143,0.5,1.3,,,0.8,1,
Alka Securities Ltd.,31-03-2023,12,11.9,14.5,14.5,0.6,9.8,,0.1,2,9.9,
Alkoplus Producers Pvt. Ltd.,31-03-2023,12,0.1,3696.1,3696.1,-15.5,15.6,,,,0.1,
Alkor Petroo Ltd.,31-03-2023,12,,2226.2,2226.2,-0.1,0.1,0.1,,,,
Alkyl Organics Ltd.,31-03-2002,12,0.1,1,1,0,0.1,,,0.1,,
Alkyl Speciality Chemicals Ltd. [Merged],31-03-2017,12,1.4,20.4,20.4,0.9,0.5,,,,1.4,
All Heaven Holdings & Estates Ltd.,31-03-2012,12,,2.6,2.6,0,,,,,,
All Time Securities Pvt. Ltd.,31-03-2023,12,75,362.7,362.7,20.1,54.9,,0.3,,75,
All Trade Consultants Pvt. Ltd.,31-03-2023,12,79.7,677.2,677.2,0.6,79.1,,0.1,,7.2,72.5
Allahabad Bank [Merged],31-03-2019,12,202668.1,2490817.1,2490817.1,-83339.6,286007.7,,4350.7,,181462.7,10240.5
Allana Exports Pvt. Ltd.,31-03-2023,12,3877.6,1242.2,1242.2,3869.8,7.8,,,,3877.6,
Allana Frozen Foods Pvt. Ltd.,31-03-2023,12,0.2,458.1,458.1,-5.4,5.6,0.7,0.4,,0.2,
Allana Impex Pvt. Ltd.,31-03-2023,12,,0.1,0.1,,,,,,,
Allana Oil Mills Pvt. Ltd.,31-03-2012,12,2.7,21.7,21.7,-0.2,2.9,0.2,,0.9,0.1,
Allana Pharmachem Pvt. Ltd.,31-03-2023,12,0.7,32.3,32.3,0.5,0.2,,,,0.7,
Allbank Finance Ltd. [Merged],31-03-2017,12,133.3,825.1,825.1,67.6,65.7,0.7,,,125.9,1.8
Allcheckdeals India Pvt. Ltd.,31-03-2023,12,43.7,398,398,-2860.5,2904.2,0.1,,,9.6,34.1
Alliance Business Credit Ltd.,31-03-1995,9,13.4,64.1,64.1,5.5,7.9,,1,,13.4,
Alliance Capital & Financial Services Ltd.,31-12-1996,18,4.7,11.5,11.5,-9.4,14.1,,,,4.5,0.1
